iter,mu,sigma2,nu
3070,0.0010857422168451143,3.994142511188069e-05,3.8024483800824003
3075,0.0011876491172914594,4.451250879977845e-05,3.643515992131757
3080,0.0010909247342508956,4.032189667965075e-05,3.5389686401137297
3085,0.0010642690466512784,4.070777410708565e-05,3.455013431920392
3090,0.0009193425910478749,3.802640143601762e-05,3.2806737168714566
3095,0.0010753515170067143,4.1306366800035516e-05,3.8479005938907433
3100,0.0009335164661746522,4.039727030914332e-05,3.5507984614396984
3105,0.0006890926238514428,3.799748007600658e-05,4.138869683250324
3110,0.000579638240758124,3.832470024219269e-05,4.219459065636169
3115,0.0007635356765646665,4.117135759399469e-05,4.082865344697258
3120,0.0007279062036112936,3.961855509308414e-05,4.11759398066341
3125,0.0016566140080604278,4.110869569159196e-05,3.9137858071119216
3130,0.0007138461238528053,4.088173631128102e-05,3.8836218279073424
3135,0.0013202645344305654,3.9181454415685286e-05,3.745347629754287
3140,0.0006400347714813205,3.866008264761347e-05,4.015406517269781
3145,0.0008308829726392978,4.091909805399617e-05,4.211011633029402
3150,0.0011516780619482325,4.128597731723495e-05,4.372994946892447
3155,0.0008253548909699267,4.277552278942864e-05,4.548805034066137
3160,0.0010096421061829774,3.9385294231525195e-05,4.753903346691365
3165,0.0011524931668198668,3.6213369754582143e-05,4.145482638417257
3170,0.0008089245076108533,4.027419112514101e-05,4.004753351543942
3175,0.0011285423896489006,3.9066531029811115e-05,3.9446095233203655
3180,0.0011563320082462422,4.2301253158317694e-05,4.589203491278212
3185,0.00044986682231488436,4.292061356436725e-05,3.9863992703720506
3190,0.0014402409616353726,3.682613628334844e-05,3.590905707540598
3195,0.00113806786084995,3.595846068626787e-05,3.4444326734950796
3200,0.000727254871888787,3.8609046470544503e-05,3.4959171175706887
3205,0.0005970467010290477,3.532910951010776e-05,3.8893545465946175
3210,0.0007894903050952744,4.0869186293530316e-05,3.33358005452813
3215,0.0010694349311904676,4.492864252716649e-05,3.82231185010944
3220,0.0012108052862284354,4.215361782830027e-05,3.835993767450373
3225,0.0008913927511620884,4.6580525543176677e-05,4.179999172127316
3230,0.0009251688497591904,4.4185534364883544e-05,4.414494587539732
3235,0.0004909698177554539,4.551281732918022e-05,4.437571855552093
3240,0.0009475729140945303,4.2587922270757876e-05,4.800509486077139
3245,0.0011744427794466515,4.428728073725581e-05,4.521580057754886
3250,0.0011891425640087265,4.180700433363186e-05,4.108521134866826
3255,0.0008469890948794396,3.9044698414564816e-05,4.152392370588727
3260,0.0010583289602289607,3.8800685632498673e-05,4.1143089823846895
3265,0.0013318911637256207,4.075781476343082e-05,4.143618057996447
3270,0.0007239411193374551,4.0566130505434216e-05,4.2454867779443015
3275,0.0004501025428194296,4.259073941980074e-05,3.836927146445909
3280,0.0012050224665675338,3.732438635452343e-05,3.7030032352273254
3285,0.0007988060725744706,3.737631853454873e-05,3.579031297473793
3290,0.0006191478049138293,3.42366302345375e-05,3.599434113345983
3295,0.0011109112520674893,4.158182912805867e-05,4.078946623781741
3300,0.0008606275398989116,4.561740597400208e-05,4.298424642076336
3305,0.0006565726080543261,3.938467217350195e-05,4.667270368824903
3310,0.0012174540970933388,4.7657184011827946e-05,5.034950540748004
3315,0.0012628920411133168,4.084413254284315e-05,4.723325926894548
3320,0.0012926554522687285,4.266425317111544e-05,4.530469190609438
3325,0.0009159926498529308,4.043086348892398e-05,4.4899356310072704
3330,0.0011582574875928513,4.267046868597834e-05,4.488606051951773
3335,0.0008157623667946337,4.2590394956643546e-05,4.3900280986925475
3340,0.0008441574023219179,3.775729934503151e-05,4.067356779350476
3345,0.0009930938440744848,4.294454119771253e-05,4.454504892683132
3350,0.00120042085195447,4.4267081849254847e-05,4.667196074172502
3355,0.0009380678148214432,3.993282423797395e-05,4.215671855128768
3360,0.001016892678127151,4.250921791272524e-05,4.325081970488698
3365,0.0012286825326148824,4.637536151683154e-05,4.82290934209567
3370,0.0010409657212406896,3.804381817935108e-05,4.526862897332077
3375,0.0009158275008295135,4.468792154908007e-05,4.467341870704125
3380,0.0008293531107432251,3.945736470070325e-05,3.8004389837996166
3385,0.0007220187065035469,4.5872339311918024e-05,3.9456735703912216
3390,0.0009810033937127012,3.6700966531739597e-05,3.43753959594828
3395,0.0008135708212528019,3.902440671054928e-05,3.349287803096054
3400,0.0013747478810063232,3.5803821845060284e-05,3.505777948315294
3405,0.0011767441046808757,3.79201412465825e-05,3.3938254616417476
3410,0.0010229541312482097,3.893682465681555e-05,3.624730514366558
3415,0.0006686668661782315,4.1171097803514374e-05,4.204445115503972
3420,0.0010391847265363054,4.179221398369864e-05,4.183143135942117
3425,0.0014881629246221032,4.0234261312287416e-05,4.075552323383488
3430,0.0009510526274827937,3.540494110673265e-05,3.565914577328675
3435,0.0007257477833442514,3.50402793351036e-05,3.174926073977182
3440,0.0014583424176195816,3.981406599709616e-05,3.4578460601046084
3445,0.0016210391763204956,3.7287279643485645e-05,3.807250435704421
3450,0.001036125314622996,4.2837189464349764e-05,3.775127642761567
3455,0.0012135023722707272,4.544677466334688e-05,3.8397827402955644
3460,0.0008661176791955157,4.2701157077478835e-05,3.340472969509891
3465,0.00121996586849788,3.416458943267351e-05,3.396219242769999
3470,0.0013152237140525522,3.6875796230648975e-05,3.0641762254705904
3475,0.0009354378882446374,3.4695612994929745e-05,3.3226412539991337
3480,0.0008663129727772181,3.5138776259394595e-05,3.3812629466247133
3485,0.0007009262528091394,3.705031989394579e-05,3.0625312526620467
3490,0.0007924353988821552,3.9025593481148184e-05,3.4630723173724407
